diff_s,model,GPU,fps
0.055600000000000004,SLEAP,4080,100fps
0.0548,SLEAP,4080,100fps
0.053200000000000004,SLEAP,4080,100fps
0.0488,SLEAP,4080,100fps
0.046400000000000004,SLEAP,4080,100fps
0.0504,SLEAP,4080,100fps
0.0448,SLEAP,4080,100fps
0.0476,SLEAP,4080,100fps
0.042800000000000005,SLEAP,4080,100fps
0.041600000000000005,SLEAP,4080,100fps
0.038,SLEAP,4080,100fps
0.037200000000000004,SLEAP,4080,100fps
0.0364,SLEAP,4080,100fps
0.0324,SLEAP,4080,100fps
0.0316,SLEAP,4080,100fps
0.0308,SLEAP,4080,100fps
0.0604,SLEAP,4080,100fps
0.0592,SLEAP,4080,100fps
0.0592,SLEAP,4080,100fps
0.0592,SLEAP,4080,100fps
0.055600000000000004,SLEAP,4080,100fps
0.0548,SLEAP,4080,100fps
0.0516,SLEAP,4080,100fps
0.048400000000000006,SLEAP,4080,100fps
0.048,SLEAP,4080,100fps
0.0472,SLEAP,4080,100fps
0.044000000000000004,SLEAP,4080,100fps
0.042,SLEAP,4080,100fps
0.0436,SLEAP,4080,100fps
0.04,SLEAP,4080,100fps
0.04,SLEAP,4080,100fps
0.036000000000000004,SLEAP,4080,100fps
0.0352,SLEAP,4080,100fps
0.0328,SLEAP,4080,100fps
0.0308,SLEAP,4080,100fps
0.0304,SLEAP,4080,100fps
0.0828,SLEAP,4080,100fps
0.057600000000000005,SLEAP,4080,100fps
0.07400000000000001,SLEAP,4080,100fps
0.054,SLEAP,4080,100fps
0.055600000000000004,SLEAP,4080,100fps
0.0528,SLEAP,4080,100fps
0.0528,SLEAP,4080,100fps
0.0492,SLEAP,4080,100fps
0.0492,SLEAP,4080,100fps
0.046400000000000004,SLEAP,4080,100fps
0.0436,SLEAP,4080,100fps
0.0424,SLEAP,4080,100fps
0.0412,SLEAP,4080,100fps
0.040400000000000005,SLEAP,4080,100fps
0.0376,SLEAP,4080,100fps
0.037200000000000004,SLEAP,4080,100fps
0.0352,SLEAP,4080,100fps
0.0368,SLEAP,4080,100fps
0.0328,SLEAP,4080,100fps
0.0316,SLEAP,4080,100fps
0.062400000000000004,SLEAP,4080,100fps
0.062,SLEAP,4080,100fps
0.0584,SLEAP,4080,100fps
0.058800000000000005,SLEAP,4080,100fps
0.055600000000000004,SLEAP,4080,100fps
0.054,SLEAP,4080,100fps
0.052000000000000005,SLEAP,4080,100fps
0.049600000000000005,SLEAP,4080,100fps
0.048,SLEAP,4080,100fps
0.0476,SLEAP,4080,100fps
0.045200000000000004,SLEAP,4080,100fps
0.042800000000000005,SLEAP,4080,100fps
0.042800000000000005,SLEAP,4080,100fps
0.042,SLEAP,4080,100fps
0.038400000000000004,SLEAP,4080,100fps
0.0364,SLEAP,4080,100fps
0.036000000000000004,SLEAP,4080,100fps
0.0332,SLEAP,4080,100fps
0.0316,SLEAP,4080,100fps
0.0304,SLEAP,4080,100fps
0.062,SLEAP,4080,100fps
0.0596,SLEAP,4080,100fps
0.058,SLEAP,4080,100fps
0.0572,SLEAP,4080,100fps
0.054400000000000004,SLEAP,4080,100fps
0.0524,SLEAP,4080,100fps
0.0528,SLEAP,4080,100fps
0.05,SLEAP,4080,100fps
0.0468,SLEAP,4080,100fps
0.0476,SLEAP,4080,100fps
0.0456,SLEAP,4080,100fps
0.0424,SLEAP,4080,100fps
0.040400000000000005,SLEAP,4080,100fps
0.04,SLEAP,4080,100fps
0.036000000000000004,SLEAP,4080,100fps
0.0356,SLEAP,4080,100fps
0.036000000000000004,SLEAP,4080,100fps
0.0344,SLEAP,4080,100fps
0.0292,SLEAP,4080,100fps
0.0304,SLEAP,4080,100fps
0.0644,SLEAP,4080,100fps
0.0592,SLEAP,4080,100fps
0.0572,SLEAP,4080,100fps
0.0572,SLEAP,4080,100fps
0.053200000000000004,SLEAP,4080,100fps
0.0528,SLEAP,4080,100fps
0.0516,SLEAP,4080,100fps
0.05,SLEAP,4080,100fps
0.0472,SLEAP,4080,100fps
0.0492,SLEAP,4080,100fps
0.0456,SLEAP,4080,100fps
0.042,SLEAP,4080,100fps
0.0408,SLEAP,4080,100fps
0.04,SLEAP,4080,100fps
0.038400000000000004,SLEAP,4080,100fps
0.036000000000000004,SLEAP,4080,100fps
0.0352,SLEAP,4080,100fps
0.0316,SLEAP,4080,100fps
0.0308,SLEAP,4080,100fps
0.0292,SLEAP,4080,100fps
0.061200000000000004,SLEAP,4080,100fps
0.0584,SLEAP,4080,100fps
0.056,SLEAP,4080,100fps
0.058800000000000005,SLEAP,4080,100fps
0.055600000000000004,SLEAP,4080,100fps
0.0516,SLEAP,4080,100fps
0.0504,SLEAP,4080,100fps
0.0492,SLEAP,4080,100fps
0.046,SLEAP,4080,100fps
0.0488,SLEAP,4080,100fps
0.0444,SLEAP,4080,100fps
0.044000000000000004,SLEAP,4080,100fps
0.0412,SLEAP,4080,100fps
0.0432,SLEAP,4080,100fps
0.0388,SLEAP,4080,100fps
0.0392,SLEAP,4080,100fps
0.037200000000000004,SLEAP,4080,100fps
0.034,SLEAP,4080,100fps
0.0296,SLEAP,4080,100fps
0.064,SLEAP,4080,100fps
0.060000000000000005,SLEAP,4080,100fps
0.060000000000000005,SLEAP,4080,100fps
0.0604,SLEAP,4080,100fps
0.0568,SLEAP,4080,100fps
0.0536,SLEAP,4080,100fps
0.0516,SLEAP,4080,100fps
0.0512,SLEAP,4080,100fps
0.05,SLEAP,4080,100fps
0.0504,SLEAP,4080,100fps
0.0472,SLEAP,4080,100fps
0.057600000000000005,SLEAP,4080,100fps
0.041600000000000005,SLEAP,4080,100fps
0.04,SLEAP,4080,100fps
0.0396,SLEAP,4080,100fps
0.0396,SLEAP,4080,100fps
0.0352,SLEAP,4080,100fps
0.038,SLEAP,4080,100fps
0.0324,SLEAP,4080,100fps
0.0296,SLEAP,4080,100fps
0.062400000000000004,SLEAP,4080,100fps
0.07,SLEAP,4080,100fps
0.057600000000000005,SLEAP,4080,100fps
0.062,SLEAP,4080,100fps
0.054,SLEAP,4080,100fps
0.0536,SLEAP,4080,100fps
0.0516,SLEAP,4080,100fps
0.0524,SLEAP,4080,100fps
0.05,SLEAP,4080,100fps
0.046,SLEAP,4080,100fps
0.045200000000000004,SLEAP,4080,100fps
0.0432,SLEAP,4080,100fps
0.0412,SLEAP,4080,100fps
0.04,SLEAP,4080,100fps
0.04,SLEAP,4080,100fps
0.036000000000000004,SLEAP,4080,100fps
0.0352,SLEAP,4080,100fps
0.0352,SLEAP,4080,100fps
0.0332,SLEAP,4080,100fps
0.030000000000000002,SLEAP,4080,100fps
0.062,SLEAP,4080,100fps
0.062400000000000004,SLEAP,4080,100fps
0.061200000000000004,SLEAP,4080,100fps
0.056400000000000006,SLEAP,4080,100fps
0.056400000000000006,SLEAP,4080,100fps
0.0536,SLEAP,4080,100fps
0.054400000000000004,SLEAP,4080,100fps
0.0504,SLEAP,4080,100fps
0.0504,SLEAP,4080,100fps
0.046400000000000004,SLEAP,4080,100fps
0.0448,SLEAP,4080,100fps
0.045200000000000004,SLEAP,4080,100fps
0.040400000000000005,SLEAP,4080,100fps
0.041600000000000005,SLEAP,4080,100fps
0.0392,SLEAP,4080,100fps
0.0368,SLEAP,4080,100fps
0.034,SLEAP,4080,100fps
0.034,SLEAP,4080,100fps
0.033600000000000005,SLEAP,4080,100fps
0.0296,SLEAP,4080,100fps
0.062,SLEAP,4080,100fps
0.062400000000000004,SLEAP,4080,100fps
0.0584,SLEAP,4080,100fps
0.056,SLEAP,4080,100fps
0.055200000000000006,SLEAP,4080,100fps
0.0536,SLEAP,4080,100fps
0.050800000000000005,SLEAP,4080,100fps
0.05,SLEAP,4080,100fps
0.0488,SLEAP,4080,100fps
0.0456,SLEAP,4080,100fps
0.0456,SLEAP,4080,100fps
0.046400000000000004,SLEAP,4080,100fps
0.0412,SLEAP,4080,100fps
0.0388,SLEAP,4080,100fps
0.0388,SLEAP,4080,100fps
0.0368,SLEAP,4080,100fps
0.0364,SLEAP,4080,100fps
0.034,SLEAP,4080,100fps
0.0328,SLEAP,4080,100fps
0.0304,SLEAP,4080,100fps
0.0616,SLEAP,4080,100fps
0.0592,SLEAP,4080,100fps
0.0572,SLEAP,4080,100fps
0.055600000000000004,SLEAP,4080,100fps
0.0572,SLEAP,4080,100fps
0.056400000000000006,SLEAP,4080,100fps
0.0512,SLEAP,4080,100fps
0.050800000000000005,SLEAP,4080,100fps
0.049600000000000005,SLEAP,4080,100fps
0.046,SLEAP,4080,100fps
0.0448,SLEAP,4080,100fps
0.0436,SLEAP,4080,100fps
0.0408,SLEAP,4080,100fps
0.0396,SLEAP,4080,100fps
0.038400000000000004,SLEAP,4080,100fps
0.0368,SLEAP,4080,100fps
0.036000000000000004,SLEAP,4080,100fps
0.034,SLEAP,4080,100fps
0.032,SLEAP,4080,100fps
0.0296,SLEAP,4080,100fps
0.061200000000000004,SLEAP,4080,100fps
0.0604,SLEAP,4080,100fps
0.057600000000000005,SLEAP,4080,100fps
0.0568,SLEAP,4080,100fps
0.055200000000000006,SLEAP,4080,100fps
0.054,SLEAP,4080,100fps
0.0512,SLEAP,4080,100fps
0.0504,SLEAP,4080,100fps
0.0504,SLEAP,4080,100fps
0.0476,SLEAP,4080,100fps
0.044000000000000004,SLEAP,4080,100fps
0.042800000000000005,SLEAP,4080,100fps
0.0412,SLEAP,4080,100fps
0.0388,SLEAP,4080,100fps
0.038,SLEAP,4080,100fps
0.040400000000000005,YORU,4080,100fps
0.0296,YORU,4080,100fps
0.048,YORU,4080,100fps
0.049600000000000005,YORU,4080,100fps
0.0236,YORU,4080,100fps
0.033600000000000005,YORU,4080,100fps
0.0224,YORU,4080,100fps
0.037200000000000004,YORU,4080,100fps
0.0244,YORU,4080,100fps
0.0268,YORU,4080,100fps
0.0396,YORU,4080,100fps
0.034,YORU,4080,100fps
0.0292,YORU,4080,100fps
0.0188,YORU,4080,100fps
0.0176,YORU,4080,100fps
0.038,YORU,4080,100fps
0.027600000000000003,YORU,4080,100fps
0.0328,YORU,4080,100fps
0.034,YORU,4080,100fps
0.0324,YORU,4080,100fps
0.0212,YORU,4080,100fps
0.0224,YORU,4080,100fps
0.015600000000000001,YORU,4080,100fps
0.036000000000000004,YORU,4080,100fps
0.046,YORU,4080,100fps
0.0368,YORU,4080,100fps
0.0236,YORU,4080,100fps
0.031200000000000002,YORU,4080,100fps
0.05,YORU,4080,100fps
0.0296,YORU,4080,100fps
0.02,YORU,4080,100fps
0.0388,YORU,4080,100fps
0.0332,YORU,4080,100fps
0.0316,YORU,4080,100fps
0.037200000000000004,YORU,4080,100fps
0.0252,YORU,4080,100fps
0.020800000000000003,YORU,4080,100fps
0.028800000000000003,YORU,4080,100fps
0.028800000000000003,YORU,4080,100fps
0.0332,YORU,4080,100fps
0.034,YORU,4080,100fps
0.0252,YORU,4080,100fps
0.027600000000000003,YORU,4080,100fps
0.0308,YORU,4080,100fps
0.028,YORU,4080,100fps
0.0292,YORU,4080,100fps
0.0228,YORU,4080,100fps
0.0268,YORU,4080,100fps
0.0332,YORU,4080,100fps
0.032,YORU,4080,100fps
0.0356,YORU,4080,100fps
0.0236,YORU,4080,100fps
0.028800000000000003,YORU,4080,100fps
0.0264,YORU,4080,100fps
0.0256,YORU,4080,100fps
0.031200000000000002,YORU,4080,100fps
0.0388,YORU,4080,100fps
0.031200000000000002,YORU,4080,100fps
0.0504,YORU,4080,100fps
0.0332,YORU,4080,100fps
0.0212,YORU,4080,100fps
0.023200000000000002,YORU,4080,100fps
0.0224,YORU,4080,100fps
0.028800000000000003,YORU,4080,100fps
0.0304,YORU,4080,100fps
0.0224,YORU,4080,100fps
0.0256,YORU,4080,100fps
0.034800000000000005,YORU,4080,100fps
0.031200000000000002,YORU,4080,100fps
0.0296,YORU,4080,100fps
0.0332,YORU,4080,100fps
0.0292,YORU,4080,100fps
0.040400000000000005,YORU,4080,100fps
0.0356,YORU,4080,100fps
0.028,YORU,4080,100fps
0.034800000000000005,YORU,4080,100fps
0.0356,YORU,4080,100fps
0.0204,YORU,4080,100fps
0.0284,YORU,4080,100fps
0.027200000000000002,YORU,4080,100fps
0.024,YORU,4080,100fps
0.0256,YORU,4080,100fps
0.048,YORU,4080,100fps
0.026000000000000002,YORU,4080,100fps
0.026000000000000002,YORU,4080,100fps
0.027600000000000003,YORU,4080,100fps
0.0256,YORU,4080,100fps
0.0244,YORU,4080,100fps
0.0412,YORU,4080,100fps
0.0284,YORU,4080,100fps
0.0292,YORU,4080,100fps
0.026000000000000002,YORU,4080,100fps
0.027600000000000003,YORU,4080,100fps
0.0264,YORU,4080,100fps
0.0316,YORU,4080,100fps
0.0352,YORU,4080,100fps
0.0356,YORU,4080,100fps
0.0296,YORU,4080,100fps
0.054,YORU,4080,100fps
0.0216,YORU,4080,100fps
0.0328,YORU,4080,100fps
0.032,YORU,4080,100fps
0.0252,YORU,4080,100fps
0.0284,YORU,4080,100fps
0.0352,YORU,4080,100fps
0.0256,YORU,4080,100fps
0.0332,YORU,4080,100fps
0.0284,YORU,4080,100fps
0.024,YORU,4080,100fps
0.0324,YORU,4080,100fps
0.0304,YORU,4080,100fps
0.0324,YORU,4080,100fps
0.024800000000000003,YORU,4080,100fps
0.0256,YORU,4080,100fps
0.0316,YORU,4080,100fps
0.0328,YORU,4080,100fps
0.0368,YORU,4080,100fps
0.023200000000000002,YORU,4080,100fps
0.0512,YORU,4080,100fps
0.0204,YORU,4080,100fps
0.028,YORU,4080,100fps
0.037200000000000004,YORU,4080,100fps
0.032,YORU,4080,100fps
0.0432,YORU,4080,100fps
0.0284,YORU,4080,100fps
0.032,YORU,4080,100fps
0.027600000000000003,YORU,4080,100fps
0.0228,YORU,4080,100fps
0.0284,YORU,4080,100fps
0.0412,YORU,4080,100fps
0.032,YORU,4080,100fps
0.0328,YORU,4080,100fps
0.0268,YORU,4080,100fps
0.024,YORU,4080,100fps
0.028,YORU,4080,100fps
0.0216,YORU,4080,100fps
0.0332,YORU,4080,100fps
0.034800000000000005,YORU,4080,100fps
0.030000000000000002,YORU,4080,100fps
0.027600000000000003,YORU,4080,100fps
0.0324,YORU,4080,100fps
0.0212,YORU,4080,100fps
0.0204,YORU,4080,100fps
0.024,YORU,4080,100fps
0.0268,YORU,4080,100fps
0.0596,YORU,4080,100fps
0.0424,YORU,4080,100fps
0.0444,YORU,4080,100fps
0.04,YORU,4080,100fps
0.0268,YORU,4080,100fps
0.024,YORU,4080,100fps
0.0236,YORU,4080,100fps
0.02,YORU,4080,100fps
0.036000000000000004,YORU,4080,100fps
0.0432,YORU,4080,100fps
0.036000000000000004,YORU,4080,100fps
0.031200000000000002,YORU,4080,100fps
0.024800000000000003,YORU,4080,100fps
0.0236,YORU,4080,100fps
0.02,YORU,4080,100fps
0.0172,YORU,4080,100fps
0.042800000000000005,YORU,4080,100fps
0.038,YORU,4080,100fps
0.0256,YORU,4080,100fps
0.0368,YORU,4080,100fps
0.034,YORU,4080,100fps
0.0376,YORU,4080,100fps
0.0204,YORU,4080,100fps
0.0408,YORU,4080,100fps
0.044000000000000004,YORU,4080,100fps
0.038400000000000004,YORU,4080,100fps
0.0324,YORU,4080,100fps
0.0296,YORU,4080,100fps
0.041600000000000005,YORU,4080,100fps
0.0292,YORU,4080,100fps
0.0432,YORU,4080,100fps
0.0316,YORU,4080,100fps
0.031200000000000002,YORU,4080,100fps
0.0408,YORU,4080,100fps
0.038,YORU,4080,100fps
0.034,YORU,4080,100fps
0.031200000000000002,YORU,4080,100fps
0.033600000000000005,YORU,4080,100fps
0.0236,YORU,4080,100fps
0.0528,YORU,4080,100fps
0.0304,YORU,4080,100fps
0.0352,YORU,4080,100fps
0.0328,YORU,4080,100fps
0.0212,YORU,4080,100fps
0.0304,YORU,4080,100fps
0.0284,YORU,4080,100fps
0.0356,YORU,4080,100fps
0.0268,YORU,4080,100fps
0.0356,YORU,4080,100fps
0.027200000000000002,YORU,4080,100fps
0.0244,YORU,4080,100fps
0.0356,YORU,4080,100fps
0.027600000000000003,YORU,4080,100fps
0.024800000000000003,YORU,4080,100fps
0.0244,YORU,4080,100fps
0.0304,YORU,4080,100fps
0.0468,YORU,4080,100fps
0.0308,YORU,4080,100fps
0.033600000000000005,YORU,4080,100fps
0.0456,YORU,4080,100fps
0.024,YORU,4080,100fps
0.034,YORU,4080,100fps
0.0356,YORU,4080,100fps
0.0284,YORU,4080,100fps
0.0412,YORU,4080,100fps
0.0292,YORU,4080,100fps
0.0284,YORU,4080,100fps
0.0472,YORU,4080,100fps
0.049600000000000005,YORU,4080,100fps
0.027200000000000002,YORU,4080,100fps
0.028800000000000003,YORU,4080,100fps
0.026000000000000002,YORU,4080,100fps
0.031200000000000002,YORU,4080,100fps
0.024,YORU,4080,100fps
0.0256,YORU,4080,100fps
0.0356,YORU,4080,100fps
0.0264,YORU,4080,100fps
0.0212,YORU,4080,100fps
0.0212,YORU,4080,100fps
0.0368,YORU,4080,100fps
0.0196,YORU,4080,100fps
0.028800000000000003,YORU,4080,100fps
0.0252,YORU,4080,100fps
0.0236,YORU,4080,100fps
0.024,YORU,4080,100fps
0.0236,YORU,4080,100fps
0.0188,YORU,4080,100fps
0.0304,YORU,4080,100fps
0.0236,YORU,4080,100fps
0.0488,YORU,4080,100fps
0.055200000000000006,YORU,4080,100fps
0.0284,YORU,4080,100fps
0.0256,YORU,4080,100fps
0.022000000000000002,YORU,4080,100fps
0.028800000000000003,YORU,4080,100fps
0.0252,YORU,4080,100fps
0.0448,YORU,4080,100fps
0.0364,YORU,4080,100fps
0.044000000000000004,YORU,4080,100fps
0.0376,YORU,4080,100fps
0.04,YORU,4080,100fps
0.0328,YORU,4080,100fps
0.048400000000000006,YORU,4080,100fps
0.050800000000000005,YORU,4080,100fps
0.0228,YORU,4080,100fps
