diff_s,size,model,GPU,camera,fps,trigger,memory
0.02655,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.0263,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027930000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.04583,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.029720000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02832,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.04517,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.014320000000000001,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.020370000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.020870000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.028820000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02755,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.024020000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02187,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02619,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02721,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027760000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.028280000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.022430000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027330000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02578,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01013,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027070000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01965,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02084,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027280000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03186,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02085,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02917,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03325,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.025740000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.021650000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.037070000000000006,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03588,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.013620000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.030730000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.026180000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.025330000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02723,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.028200000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02943,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.030910000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03144,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03595,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027370000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03114,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01212,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01242,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02603,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.0356,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02749,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03449,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02772,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.026940000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02261,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.017990000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01856,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.029400000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027700000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.0531,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.026650000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02348,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.018000000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02314,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02713,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03755,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02858,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01939,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.018590000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.013470000000000001,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.024,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02552,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.0297,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02032,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.05589,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02772,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02297,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.0291,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02195,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.029920000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.037360000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01887,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.028550000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02032,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02926,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.020780000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02926,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.04091,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.0388,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.0246,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01267,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.036910000000000005,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.04113000000000001,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.033870000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03359,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.028350000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.015620000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.019520000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02348,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.030140000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.031670000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.029450000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03696,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.0362,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03626,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.026400000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01975,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.018760000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02094,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03497,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02627,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03146,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027420000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.022410000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01666,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.026390000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.025310000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.028180000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02034,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02271,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.028880000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.00982,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027880000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027700000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03171,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.0217,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027000000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.031540000000000006,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.028010000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.018340000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02067,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.014750000000000001,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.024030000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.029550000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.0347,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03252,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03552,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027540000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.0227,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.028690000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.031110000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02084,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02748,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02068,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.026930000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02858,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.017730000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027160000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03637,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02613,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.024270000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02781,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027790000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027530000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01939,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.035280000000000006,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.024220000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027700000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02323,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027460000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.033120000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03141,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.030080000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027700000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01668,640,yolov5s,4080,IS,100fps,firmata,32GB
0.024290000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.028090000000000004,640,yolov5s,4080,IS,100fps,firmata,32GB
0.03248,640,yolov5s,4080,IS,100fps,firmata,32GB
0.015220000000000001,640,yolov5s,4080,IS,100fps,firmata,32GB
0.009550000000000001,640,yolov5s,4080,IS,100fps,firmata,32GB
0.008960000000000001,640,yolov5s,4080,IS,100fps,firmata,32GB
0.012310000000000001,640,yolov5s,4080,IS,100fps,firmata,32GB
0.013330000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.02927,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01234,640,yolov5s,4080,IS,100fps,firmata,32GB
0.016620000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.014130000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.013840000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.016890000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.028030000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.028620000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01835,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01669,640,yolov5s,4080,IS,100fps,firmata,32GB
0.020470000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.015120000000000001,640,yolov5s,4080,IS,100fps,firmata,32GB
0.05478,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01572,640,yolov5s,4080,IS,100fps,firmata,32GB
0.015510000000000001,640,yolov5s,4080,IS,100fps,firmata,32GB
0.029480000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.036070000000000005,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01416,640,yolov5s,4080,IS,100fps,firmata,32GB
0.027860000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.035070000000000004,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01574,640,yolov5s,4080,IS,100fps,firmata,32GB
0.02059,640,yolov5s,4080,IS,100fps,firmata,32GB
0.021980000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.024960000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.030080000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01839,640,yolov5s,4080,IS,100fps,firmata,32GB
0.02262,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01399,640,yolov5s,4080,IS,100fps,firmata,32GB
0.040040000000000006,640,yolov5s,4080,IS,100fps,firmata,32GB
0.021290000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.019260000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.019700000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.026050000000000004,640,yolov5s,4080,IS,100fps,firmata,32GB
0.011000000000000001,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01399,640,yolov5s,4080,IS,100fps,firmata,32GB
0.009670000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.00834,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01271,640,yolov5s,4080,IS,100fps,firmata,32GB
0.02125,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01301,640,yolov5s,4080,IS,100fps,firmata,32GB
0.023870000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01754,640,yolov5s,4080,IS,100fps,firmata,32GB
0.028540000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.02823,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01616,640,yolov5s,4080,IS,100fps,firmata,32GB
0.013160000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.0131,640,yolov5s,4080,IS,100fps,firmata,32GB
0.016800000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01191,640,yolov5s,4080,IS,100fps,firmata,32GB
0.028650000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.024350000000000004,640,yolov5s,4080,IS,100fps,firmata,32GB
0.029920000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01693,640,yolov5s,4080,IS,100fps,firmata,32GB
0.00791,640,yolov5s,4080,IS,100fps,firmata,32GB
0.017240000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.013710000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.013000000000000001,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01887,640,yolov5s,4080,IS,100fps,firmata,32GB
0.020720000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.02159,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01165,640,yolov5s,4080,IS,100fps,firmata,32GB
0.012700000000000001,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01322,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01327,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01387,640,yolov5s,4080,IS,100fps,firmata,32GB
0.0166,640,yolov5s,4080,IS,100fps,firmata,32GB
0.03159,640,yolov5s,4080,IS,100fps,firmata,32GB
0.023860000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.026510000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.027100000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.0119,640,yolov5s,4080,IS,100fps,firmata,32GB
0.00202,640,yolov5s,4080,IS,100fps,firmata,32GB
0.027350000000000003,640,yolov5s,4080,IS,100fps,firmata,32GB
0.024130000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.019880000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
0.01156,640,yolov5s,4080,IS,100fps,firmata,32GB
0.02834,640,yolov5s,4080,IS,100fps,firmata,32GB
0.03338,640,yolov5s,4080,IS,100fps,firmata,32GB
0.022590000000000002,640,yolov5s,4080,IS,100fps,firmata,32GB
