Observation duration,Time offset (s),Media duration (s),FPS,Behavior,Behavior type,Time
377.344,0,735.969,29.97,wing_extension,START,44.111
377.344,0,735.969,29.97,wing_extension,STOP,44.144
377.344,0,735.969,29.97,wing_extension,START,56.757
377.344,0,735.969,29.97,wing_extension,STOP,57.157
377.344,0,735.969,29.97,wing_extension,START,58.759
377.344,0,735.969,29.97,wing_extension,STOP,58.959
377.344,0,735.969,29.97,wing_extension,START,59.259
377.344,0,735.969,29.97,wing_extension,STOP,74.174
377.344,0,735.969,29.97,wing_extension,START,74.908
377.344,0,735.969,29.97,wing_extension,STOP,77.611
377.344,0,735.969,29.97,wing_extension,START,77.711
377.344,0,735.969,29.97,wing_extension,STOP,77.878
377.344,0,735.969,29.97,wing_extension,START,77.911
377.344,0,735.969,29.97,wing_extension,STOP,78.345
377.344,0,735.969,29.97,wing_extension,START,78.378
377.344,0,735.969,29.97,wing_extension,STOP,81.048
377.344,0,735.969,29.97,wing_extension,START,81.114
377.344,0,735.969,29.97,wing_extension,STOP,84.117
377.344,0,735.969,29.97,wing_extension,START,84.184
377.344,0,735.969,29.97,wing_extension,STOP,84.618
377.344,0,735.969,29.97,wing_extension,START,85.919
377.344,0,735.969,29.97,wing_extension,STOP,91.625
377.344,0,735.969,29.97,wing_extension,START,91.792
377.344,0,735.969,29.97,wing_extension,STOP,92.559
377.344,0,735.969,29.97,wing_extension,START,93.727
377.344,0,735.969,29.97,wing_extension,STOP,96.296
377.344,0,735.969,29.97,wing_extension,START,98.031
377.344,0,735.969,29.97,wing_extension,STOP,98.332
377.344,0,735.969,29.97,wing_extension,START,99.366
377.344,0,735.969,29.97,wing_extension,STOP,100
377.344,0,735.969,29.97,wing_extension,START,100.067
377.344,0,735.969,29.97,wing_extension,STOP,100.167
377.344,0,735.969,29.97,wing_extension,START,100.501
377.344,0,735.969,29.97,wing_extension,STOP,100.868
377.344,0,735.969,29.97,wing_extension,START,101.401
377.344,0,735.969,29.97,wing_extension,STOP,101.568
377.344,0,735.969,29.97,wing_extension,START,101.902
377.344,0,735.969,29.97,wing_extension,STOP,102.035
377.344,0,735.969,29.97,wing_extension,START,102.269
377.344,0,735.969,29.97,wing_extension,STOP,102.803
377.344,0,735.969,29.97,wing_extension,START,102.836
377.344,0,735.969,29.97,wing_extension,STOP,103.337
377.344,0,735.969,29.97,wing_extension,START,104.137
377.344,0,735.969,29.97,wing_extension,STOP,104.304
377.344,0,735.969,29.97,wing_extension,START,105.939
377.344,0,735.969,29.97,wing_extension,STOP,106.807
377.344,0,735.969,29.97,wing_extension,START,108.208
377.344,0,735.969,29.97,wing_extension,STOP,110.21
377.344,0,735.969,29.97,wing_extension,START,110.811
377.344,0,735.969,29.97,wing_extension,STOP,112.546
377.344,0,735.969,29.97,wing_extension,START,115.916
377.344,0,735.969,29.97,wing_extension,STOP,115.983
377.344,0,735.969,29.97,wing_extension,START,116.416
377.344,0,735.969,29.97,wing_extension,STOP,116.55
377.344,0,735.969,29.97,wing_extension,START,118.552
377.344,0,735.969,29.97,wing_extension,STOP,118.819
377.344,0,735.969,29.97,wing_extension,START,118.986
377.344,0,735.969,29.97,wing_extension,STOP,119.82
377.344,0,735.969,29.97,wing_extension,START,120.187
377.344,0,735.969,29.97,wing_extension,STOP,120.821
377.344,0,735.969,29.97,wing_extension,START,121.321
377.344,0,735.969,29.97,wing_extension,STOP,122.523
377.344,0,735.969,29.97,wing_extension,START,130.163
377.344,0,735.969,29.97,wing_extension,STOP,130.697
377.344,0,735.969,29.97,wing_extension,START,134.701
377.344,0,735.969,29.97,wing_extension,STOP,135.135
377.344,0,735.969,29.97,wing_extension,START,143.143
377.344,0,735.969,29.97,wing_extension,STOP,143.31
377.344,0,735.969,29.97,wing_extension,START,143.477
377.344,0,735.969,29.97,wing_extension,STOP,143.71
377.344,0,735.969,29.97,wing_extension,START,144.178
377.344,0,735.969,29.97,wing_extension,STOP,144.945
377.344,0,735.969,29.97,wing_extension,START,146.947
377.344,0,735.969,29.97,wing_extension,STOP,148.715
377.344,0,735.969,29.97,wing_extension,START,153.554
377.344,0,735.969,29.97,wing_extension,STOP,156.223
377.344,0,735.969,29.97,wing_extension,START,163.764
377.344,0,735.969,29.97,wing_extension,STOP,163.864
377.344,0,735.969,29.97,wing_extension,START,164.798
377.344,0,735.969,29.97,wing_extension,STOP,164.898
377.344,0,735.969,29.97,wing_extension,START,171.839
377.344,0,735.969,29.97,wing_extension,STOP,172.439
377.344,0,735.969,29.97,wing_extension,START,174.942
377.344,0,735.969,29.97,wing_extension,STOP,175.275
377.344,0,735.969,29.97,wing_extension,START,178.345
377.344,0,735.969,29.97,wing_extension,STOP,178.512
377.344,0,735.969,29.97,wing_extension,START,178.579
377.344,0,735.969,29.97,wing_extension,STOP,178.712
377.344,0,735.969,29.97,wing_extension,START,180.881
377.344,0,735.969,29.97,wing_extension,STOP,181.048
377.344,0,735.969,29.97,wing_extension,START,181.615
377.344,0,735.969,29.97,wing_extension,STOP,181.815
377.344,0,735.969,29.97,wing_extension,START,181.915
377.344,0,735.969,29.97,wing_extension,STOP,182.349
377.344,0,735.969,29.97,wing_extension,START,182.683
377.344,0,735.969,29.97,wing_extension,STOP,183.75
377.344,0,735.969,29.97,wing_extension,START,185.686
377.344,0,735.969,29.97,wing_extension,STOP,186.553
377.344,0,735.969,29.97,wing_extension,START,190.691
377.344,0,735.969,29.97,wing_extension,STOP,191.258
377.344,0,735.969,29.97,wing_extension,START,192.025
377.344,0,735.969,29.97,wing_extension,STOP,192.626
377.344,0,735.969,29.97,wing_extension,START,192.826
377.344,0,735.969,29.97,wing_extension,STOP,192.993
377.344,0,735.969,29.97,wing_extension,START,193.794
377.344,0,735.969,29.97,wing_extension,STOP,197.364
377.344,0,735.969,29.97,wing_extension,START,198.031
377.344,0,735.969,29.97,wing_extension,STOP,198.265
377.344,0,735.969,29.97,wing_extension,START,198.365
377.344,0,735.969,29.97,wing_extension,STOP,198.632
377.344,0,735.969,29.97,wing_extension,START,202.803
377.344,0,735.969,29.97,wing_extension,STOP,203.403
377.344,0,735.969,29.97,wing_extension,START,203.504
377.344,0,735.969,29.97,wing_extension,STOP,203.604
377.344,0,735.969,29.97,wing_extension,START,204.638
377.344,0,735.969,29.97,wing_extension,STOP,205.005
377.344,0,735.969,29.97,wing_extension,START,208.675
377.344,0,735.969,29.97,wing_extension,STOP,208.709
377.344,0,735.969,29.97,wing_extension,START,208.842
377.344,0,735.969,29.97,wing_extension,STOP,209.443
377.344,0,735.969,29.97,wing_extension,START,211.512
377.344,0,735.969,29.97,wing_extension,STOP,211.645
377.344,0,735.969,29.97,wing_extension,START,212.179
377.344,0,735.969,29.97,wing_extension,STOP,212.412
377.344,0,735.969,29.97,wing_extension,START,212.513
377.344,0,735.969,29.97,wing_extension,STOP,212.713
377.344,0,735.969,29.97,wing_extension,START,217.017
377.344,0,735.969,29.97,wing_extension,STOP,217.117
377.344,0,735.969,29.97,wing_extension,START,217.818
377.344,0,735.969,29.97,wing_extension,STOP,218.218
377.344,0,735.969,29.97,wing_extension,START,220.621
377.344,0,735.969,29.97,wing_extension,STOP,220.687
377.344,0,735.969,29.97,wing_extension,START,220.787
377.344,0,735.969,29.97,wing_extension,STOP,221.622
377.344,0,735.969,29.97,wing_extension,START,221.755
377.344,0,735.969,29.97,wing_extension,STOP,222.055
377.344,0,735.969,29.97,wing_extension,START,227.995
377.344,0,735.969,29.97,wing_extension,STOP,228.028
377.344,0,735.969,29.97,wing_extension,START,236.603
377.344,0,735.969,29.97,wing_extension,STOP,237.104
377.344,0,735.969,29.97,wing_extension,START,238.739
377.344,0,735.969,29.97,wing_extension,STOP,239.473
377.344,0,735.969,29.97,wing_extension,START,239.573
377.344,0,735.969,29.97,wing_extension,STOP,239.64
377.344,0,735.969,29.97,wing_extension,START,269.837
377.344,0,735.969,29.97,wing_extension,STOP,270.537
377.344,0,735.969,29.97,wing_extension,START,270.671
377.344,0,735.969,29.97,wing_extension,STOP,274.441
377.344,0,735.969,29.97,wing_extension,START,275.809
377.344,0,735.969,29.97,wing_extension,STOP,278.345
377.344,0,735.969,29.97,wing_extension,START,282.382
377.344,0,735.969,29.97,wing_extension,STOP,282.616
377.344,0,735.969,29.97,wing_extension,START,283.784
377.344,0,735.969,29.97,wing_extension,STOP,284.084
377.344,0,735.969,29.97,wing_extension,START,286.653
377.344,0,735.969,29.97,wing_extension,STOP,287.521
377.344,0,735.969,29.97,wing_extension,START,287.855
377.344,0,735.969,29.97,wing_extension,STOP,288.055
377.344,0,735.969,29.97,wing_extension,START,288.255
377.344,0,735.969,29.97,wing_extension,STOP,288.555
377.344,0,735.969,29.97,wing_extension,START,289.489
377.344,0,735.969,29.97,wing_extension,STOP,289.623
377.344,0,735.969,29.97,wing_extension,START,292.926
377.344,0,735.969,29.97,wing_extension,STOP,293.66
377.344,0,735.969,29.97,wing_extension,START,297.364
377.344,0,735.969,29.97,wing_extension,STOP,297.397
377.344,0,735.969,29.97,wing_extension,START,302.669
377.344,0,735.969,29.97,wing_extension,STOP,302.769
377.344,0,735.969,29.97,wing_extension,START,302.936
377.344,0,735.969,29.97,wing_extension,STOP,303.103
377.344,0,735.969,29.97,wing_extension,START,303.47
377.344,0,735.969,29.97,wing_extension,STOP,303.904
377.344,0,735.969,29.97,wing_extension,START,304.137
377.344,0,735.969,29.97,wing_extension,STOP,304.738
377.344,0,735.969,29.97,wing_extension,START,305.239
377.344,0,735.969,29.97,wing_extension,STOP,307.474
377.344,0,735.969,29.97,wing_extension,START,312.179
377.344,0,735.969,29.97,wing_extension,STOP,313.146
377.344,0,735.969,29.97,wing_extension,START,313.347
377.344,0,735.969,29.97,wing_extension,STOP,313.547
377.344,0,735.969,29.97,wing_extension,START,313.78
377.344,0,735.969,29.97,wing_extension,STOP,313.947
377.344,0,735.969,29.97,wing_extension,START,315.315
377.344,0,735.969,29.97,wing_extension,STOP,316.35
377.344,0,735.969,29.97,wing_extension,START,317.484
377.344,0,735.969,29.97,wing_extension,STOP,320.988
377.344,0,735.969,29.97,wing_extension,START,324.725
377.344,0,735.969,29.97,wing_extension,STOP,325.826
377.344,0,735.969,29.97,wing_extension,START,326.36
377.344,0,735.969,29.97,wing_extension,STOP,326.86
377.344,0,735.969,29.97,wing_extension,START,334.635
377.344,0,735.969,29.97,wing_extension,STOP,340.107
377.344,0,735.969,29.97,wing_extension,START,343.71
377.344,0,735.969,29.97,wing_extension,STOP,344.344
377.344,0,735.969,29.97,wing_extension,START,345.746
377.344,0,735.969,29.97,wing_extension,STOP,346.246
377.344,0,735.969,29.97,wing_extension,START,347.681
377.344,0,735.969,29.97,wing_extension,STOP,347.981
377.344,0,735.969,29.97,wing_extension,START,352.252
377.344,0,735.969,29.97,wing_extension,STOP,353.987
377.344,0,735.969,29.97,wing_extension,START,357.291
377.344,0,735.969,29.97,wing_extension,STOP,357.357
377.344,0,735.969,29.97,wing_extension,START,358.592
377.344,0,735.969,29.97,wing_extension,STOP,358.659
377.344,0,735.969,29.97,wing_extension,START,358.859
377.344,0,735.969,29.97,wing_extension,STOP,359.693
377.344,0,735.969,29.97,wing_extension,START,359.826
377.344,0,735.969,29.97,wing_extension,STOP,360.928
377.344,0,735.969,29.97,wing_extension,START,361.128
377.344,0,735.969,29.97,wing_extension,STOP,361.962
377.344,0,735.969,29.97,wing_extension,START,363.597
377.344,0,735.969,29.97,wing_extension,STOP,363.664
377.344,0,735.969,29.97,wing_extension,START,364.665
377.344,0,735.969,29.97,wing_extension,STOP,364.765
377.344,0,735.969,29.97,wing_extension,START,365.866
377.344,0,735.969,29.97,wing_extension,STOP,366.4
377.344,0,735.969,29.97,wing_extension,START,367.167
377.344,0,735.969,29.97,wing_extension,STOP,367.835
377.344,0,735.969,29.97,wing_extension,START,369.369
377.344,0,735.969,29.97,wing_extension,STOP,370.504
377.344,0,735.969,29.97,wing_extension,START,370.637
377.344,0,735.969,29.97,wing_extension,STOP,371.205
377.344,0,735.969,29.97,wing_extension,START,371.305
377.344,0,735.969,29.97,wing_extension,STOP,371.338
377.344,0,735.969,29.97,wing_extension,START,371.471
377.344,0,735.969,29.97,wing_extension,STOP,372.973
377.344,0,735.969,29.97,wing_extension,START,373.473
377.344,0,735.969,29.97,wing_extension,STOP,373.841
377.344,0,735.969,29.97,wing_extension,START,375.976
377.344,0,735.969,29.97,wing_extension,STOP,376.41
377.344,0,735.969,29.97,wing_extension,START,376.577
377.344,0,735.969,29.97,wing_extension,STOP,377.611
377.344,0,735.969,29.97,wing_extension,START,378.645
377.344,0,735.969,29.97,wing_extension,STOP,379.98
377.344,0,735.969,29.97,wing_extension,START,381.548
377.344,0,735.969,29.97,wing_extension,STOP,382.249
377.344,0,735.969,29.97,wing_extension,START,382.716
377.344,0,735.969,29.97,wing_extension,STOP,386.486
377.344,0,735.969,29.97,wing_extension,START,388.388
377.344,0,735.969,29.97,wing_extension,STOP,391.658
377.344,0,735.969,29.97,wing_extension,START,395.195
377.344,0,735.969,29.97,wing_extension,STOP,395.429
377.344,0,735.969,29.97,wing_extension,START,395.629
377.344,0,735.969,29.97,wing_extension,STOP,395.829
377.344,0,735.969,29.97,wing_extension,START,396.897
377.344,0,735.969,29.97,wing_extension,STOP,398.699
377.344,0,735.969,29.97,wing_extension,START,403.237
377.344,0,735.969,29.97,wing_extension,STOP,405.506
377.344,0,735.969,29.97,wing_extension,START,408.842
377.344,0,735.969,29.97,wing_extension,STOP,410.811
377.344,0,735.969,29.97,wing_extension,START,412.846
377.344,0,735.969,29.97,wing_extension,STOP,413.08
377.344,0,735.969,29.97,wing_extension,START,413.847
377.344,0,735.969,29.97,wing_extension,STOP,413.914
377.344,0,735.969,29.97,wing_extension,START,417.284
377.344,0,735.969,29.97,wing_extension,STOP,421.388
377.344,0,735.969,29.97,finish,POINT,421.455
